,3
a,12
abundantly,19
air,10
appear,10
bearing,15
beast,17
beginning,13
behold,11
blessed,8
bring,10
brought,12
called,17
cant,18
cattle,15
created,12
creature,15
creepeth,17
creeping,10
darkness,12
day,10
days,12
deep,18
divide,18
divided,11
doesnt,6
dominion,14
dont,8
dry,10
earth,16
evening,13
female,12
fifth,10
fill,14
firmament,9
fish,13
fly,16
form,12
forth,16
fourth,13
fowl,9
fruit,7
fruitful,11
gathered,10
gathering,13
god,13
grass,8
green,12
hath,13
heaven,11
herb,13
image,10
isnt,13
land,15
lesser,7
life,14
light,15
lights,10
likeness,15
living,6
male,7
meat,11
midst,13
morning,16
moved,9
moveth,18
moving,10
multiply,14
night,7
own,11
replenish,17
rule,16
saying,17
sea,20
seas,10
seasons,7
seed,14
set,12
shed,16
signs,12
sixth,9
spirit,13
stars,10
subdue,21
theyre,10
third,13
tree,11
unto,11
void,16
waters,13
whales,8
wherein,13
winged,11
wont,12
yielding,14
youll,16
youre,12
